name,score,user score,critics,users,platform,rating
Don't Starve,79,83.0,33,1062,PC,76.06
Path of Exile,86,80.0,27,1856,PC,76.03
Metro 2033,81,80.0,40,1856,PC,76.03
DOOM,87,85.0,25,821,XboxOne,76.03
The Last Guardian,82,79.0,110,2453,PlayStation4,76.01
God of War: Chains of Olympus,91,85.0,79,816,PSP,76.0
The Witcher 2: Assassins of Kings,88,84.0,82,916,Xbox360,75.99
Mortal Kombat Komplete Edition,81,87.0,18,661,PC,75.95
Crisis Core: Final Fantasy VII,83,86.0,67,718,PSP,75.88
F.E.A.R.,88,83.0,57,1019,PC,75.88
Gears of War 3,91,80.0,96,1750,Xbox360,75.86
Rayman Legends,90,84.0,16,885,PlayStation4,75.83
Grand Theft Auto III,97,84.0,56,881,PlayStation2,75.81
Alien: Isolation,79,82.0,50,1160,PlayStation4,75.79
Assassin's Creed IV: Black Flag,83,79.0,29,2240,PlayStation4,75.79
Dying Light,75,80.0,40,1691,PC,75.76
Need for Speed: Underground 2,82,86.0,31,700,PC,75.75
Red Dead Redemption 2,97,78.0,33,3186,XboxOne,75.75
Heavy Rain,87,78.0,107,3105,PlayStation3,75.7
God of War III Remastered,81,82.0,67,1133,PlayStation4,75.7
Gears of War 2,93,78.0,90,3060,Xbox360,75.67
Dark Souls III,87,86.0,14,688,XboxOne,75.66
Borderlands 2,89,83.0,59,966,Xbox360,75.65
Forza Horizon 4,92,81.0,88,1323,XboxOne,75.63
Super Mario Sunshine,92,85.0,61,756,GameCube,75.62
Cuphead,86,84.0,72,846,XboxOne,75.62
Middle-earth: Shadow of Mordor,84,79.0,17,2090,PC,75.61
Left 4 Dead 2,89,85.0,76,754,Xbox360,75.61
Battlefield 1,89,79.0,34,2073,PlayStation4,75.59
Sid Meier's Civilization V: Brave New World,85,86.0,55,679,PC,75.59
Super Mario Maker 2,88,85.0,98,751,Switch,75.59
Transistor,83,84.0,35,838,PC,75.58
Assassin's Creed: Brotherhood,89,84.0,81,824,Xbox360,75.5
Dark Souls II,91,81.0,69,1266,PlayStation3,75.48
The Walking Dead: Episode 1 - A New Day,82,84.0,40,820,PC,75.47
Starcraft II: Heart of the Swarm,86,80.0,68,1528,PC,75.44
This War of Mine,83,83.0,63,919,PC,75.43
Disco Elysium,91,84.0,64,804,PC,75.38
Rise of the Tomb Raider: 20 Year Celebration,88,80.0,55,1478,PlayStation4,75.33
Rise of the Tomb Raider,86,80.0,102,1473,XboxOne,75.32
Grim Dawn,83,85.0,29,709,PC,75.3
Metal Gear Solid V: The Phantom Pain,91,78.0,13,2520,PC,75.28
INSIDE,91,84.0,18,785,PlayStation4,75.27
Gravity Rush,83,85.0,73,702,PlayStationVita,75.25
Prey,82,81.0,38,1185,PC,75.23
Assassin's Creed IV: Black Flag,88,82.0,36,1004,PlayStation3,75.21
Borderlands 2,91,82.0,25,996,PlayStation3,75.18
The Outer Worlds,85,80.0,77,1344,PlayStation4,75.02
Deus Ex: Human Revolution,89,84.0,70,745,Xbox360,75.02
Uncharted: The Lost Legacy,84,79.0,104,1657,PlayStation4,74.98
Sekiro: Shadows Die Twice,88,79.0,25,1620,PC,74.91
Sonic Mania,86,84.0,21,728,Switch,74.91
Rise of the Tomb Raider,86,79.0,45,1614,PC,74.9
Mirror's Edge,81,80.0,44,1295,PC,74.9
Star Wars Jedi: Fallen Order,81,79.0,32,1609,PC,74.89
Trine 2,84,84.0,55,725,PC,74.89
Shadow of the Colossus,91,78.0,100,2114,PlayStation4,74.88
World of Goo,90,84.0,26,720,PC,74.86
Assassin's Creed IV: Black Flag,84,78.0,10,2063,PC,74.82
Dying Light,74,79.0,58,1569,PlayStation4,74.82
Star Wars Jedi: Fallen Order,79,77.0,70,2950,PlayStation4,74.78
Battlefield 3,89,76.0,61,5302,PC,74.77
Hellblade: Senua's Sacrifice,83,81.0,24,1047,PC,74.77
World of Warcraft: The Burning Crusade,91,81.0,46,1041,PC,74.75
Super Meat Boy,87,82.0,11,897,PC,74.74
The Binding of Isaac: Rebirth,86,84.0,10,700,PC,74.72
Call of Juarez: Gunslinger,79,82.0,23,880,PC,74.66
New Super Mario Bros. Wii,87,83.0,80,767,Wii,74.62
Max Payne 3,87,77.0,30,2672,PC,74.6
Final Fantasy XV,81,76.0,109,4503,PlayStation4,74.58
